comments,candidate,cleaned_comments
"man,isn't he the same man who claims to be always introducing technological advancement ideas.And am surprise you are saying blame the government whiles he has also stated the hashtag",Bawumia,man man claim always introducing technological advancement idea surprise saying blame government while also stated hashtag
"agenda"" on any problem. Isn't nobody thinking in the party to call a stop to the foolery going on?",Bawumia,agenda problem nobody thinking party call stop foolery going
",
 Ghana Card,
 Credit Phones,
 Medical Drones,
 Now Using Gold To Stop The Cedis From Depreciating,
 Wei?",Bawumia,ghana card credit phone medical drone using gold stop cedi depreciating wei
"of various sectors of the economy, including the digitization of government services, which has improved efficiency and transparency.",Bawumia,various sector economy including digitization government service improved efficiency transparency
and mobile money expansion.,Bawumia,mobile money expansion
", a data related agenda. Maybe the threats are too farfetched I believe he is one of the best people to have a say in this campaign.",Bawumia,data related agenda maybe threat farfetched believe one best people say campaign
govts,Bawumia,govts
's push seems disconnected from the realities many Ghanaians face daily. We need leaders who prioritize addressing our basic needs before chasing tech dreams that don't resonate with everyone.,Bawumia,push seems disconnected reality many ghanaians face daily need leader prioritize addressing basic need chasing tech dream resonate everyone
""".
 Let's be honest in our delivery cause this will benefit not just him but you too.",Bawumia,let honest delivery cause benefit
"Chairman, New Juaben North Constituency",Bawumia,chairman new juaben north constituency
"more than anyone in this country, yet we have been campaigning for over 20 days now. Affordable data is the backbone of what he always advocates for, and as Vice President, his",Bawumia,anyone country yet campaigning day affordable data backbone always advocate vice president
into our faces. Was it NCA ?,Bawumia,face nca
for months and he can't even listen to what was trending in his own country for weeks. Someone lost a good job just because he didn't have the required internet speed. He will lose heavily.,Bawumia,month even listen trending country week someone lost good job required internet speed lose heavily
awurade,Bawumia,awurade
) can truly influence,Bawumia,truly influence
"Solve Our Problems,
 Wei?",Bawumia,solve problem wei
lol.,Bawumia,lol
and the introduction of the e-cedi.,Bawumia,introduction cedi
drive is making waves,Bawumia,drive making wave
agenda has made life easier and faster.,Bawumia,agenda made life easier faster
", Roads, Hospitals, Providing jobs for the youth etc. I know he can't talk about the economy because he has failed",Bawumia,road hospital providing job youth etc know talk economy failed
to be stealing from Ghanaians. It's just mind blowing procurement corruption,Bawumia,stealing ghanaians mind blowing procurement corruption
approach is attempt to divert attention from what he said about the economy years ago. If you've realised so far he hardly talks about the economy like he used to do some years ago with lectures and so on.,Bawumia,approach attempt divert attention said economy year ago realised far hardly talk economy like used year ago lecture
"Is Lying,Bragging n Crediting Their Failed Text Book Economist Scammer",Bawumia,lying bragging crediting failed text book economist scammer
For Development - Dr. Bannor-,Bawumia,development dr bannor
who called him self an economic professor and Angel perform badly and can't even talk about the economy anymore and even shifted his attention to,Bawumia,called self economic professor angel perform badly even talk economy anymore even shifted attention
. It's shameful our vice can't talk about stabilizing the economy but,Bawumia,shameful vice talk stabilizing economy
". some1 should tell him, his Apps n websites re running on fiber optic network cables, network devices n servers dat JM setup b4 2016",Bawumia,tell apps website running fiber optic network cable network device server dat jm setup
", not nkukor nkitinkiti.",Bawumia,nkukor nkitinkiti
", NHIS, etc, but can't say the same for NDC, yet to hear anyone talk about an NDC policy that influenced their home
 
 The alternative is scary. Be careful",Bawumia,nhis etc say ndc yet hear anyone talk ndc policy influenced home alternative scary careful
jabs Mahama.,Bawumia,jab mahama
campaign? He's daft I don't have his time. For 8yrs I never listened to Akuffo Addo let alone,Bawumia,campaign daft time yr never listened akuffo addo let alone
", and whoever wins will not stop it.",Bawumia,whoever win stop
"in 7.8 years, otherwise stop wasting our ears.",Bawumia,year otherwise stop wasting ear
Vision to Propel Ghana's Development,Bawumia,vision propel ghana development
vision is what will prepare Ghana to embrace the fourth industrial era,Bawumia,vision prepare ghana embrace fourth industrial era
to move into the next stage of our Development – Dr. Bannor,Bawumia,move next stage development dr bannor
knows nothing about,Bawumia,know nothing
-Tells--Mahama--,Bawumia,tell mahama
drive is preparing Ghana for the future. His every move reflects someone who understands modern trends.,Bawumia,drive preparing ghana future every move reflects someone understands modern trend
"is truly setting Ghana on a path to the future. His vision shows a deep understanding of modern trends. - Otoobour Gyan Kwasi II, Akuapem Adontenhene and Aburihene.",Bawumia,truly setting ghana path future vision show deep understanding modern trend otoobour gyan kwasi ii akuapem adontenhene aburihene
efforts.,Bawumia,effort
"is leading this agenda. This is not the time for Nkokc buo nketenketen biaa. 
 
 John Mahama and his NDC party will continue to be in opposition for years due to their lack of ideas to transform the country. We're",Bawumia,leading agenda time nkokc buo nketenketen biaa john mahama ndc party continue opposition year due lack idea transform country
"and his innovative ideas.
 
 Via:",Bawumia,innovative idea via
puts it succinctly,Bawumia,put succinctly
mocks Mahama,Bawumia,mock mahama
",
 Ndc Would Cancel Fshs,
 If U Vote For Ndc,Dumsor Would Be Back,
 Wei?",Bawumia,ndc would cancel fsh vote ndc dumsor would back wei
"Don't Have Any Credible New Policies n Campaign Messages 
 So They're Lying n Deceiving Ghanaians n Saying Dat,Ndc Would Cancel Fshs,
 Fshs Was Initiated n Started By Ndc n President Jdm Would Never Cancel Fshs",Bawumia,credible new policy campaign message lying deceiving ghanaians saying dat ndc would cancel fsh fsh initiated started ndc president jdm would never cancel fsh
"can't claim credit.
 2) For ECG, today one can even buy Ghc 5.00. 
 Check every 30 days amount spent on ECG..",Bawumia,claim credit ecg today one even buy ghc check every day amount spent ecg
"! One is a thief, another is an honest Muslim .",Bawumia,one thief another honest muslim
"is his baby?? 
 Isn't he the vice president??? 
 Or Nana Addo is not the president???
 
 Per your logic",Bawumia,baby vice president nana addo president per logic
of Ghana are truly excellent.,Bawumia,ghana truly excellent
's competent leadership.,Bawumia,competent leadership
"was it done by him alone , was he the one ruling 
 
 It's a team work so if we all team together we can build the Ghana",Bawumia,done alone one ruling team work team together build ghana
"n Credit Score System,
 Dis Things Too Aren't Solving Our Problems n Bringing Food On Our Tables",Bawumia,credit score system dis thing solving problem bringing food table
efforts? Or have you heard,Bawumia,effort heard
(Mahama build the Accra digital centre to make,Bawumia,mahama build accra digital centre make
? But can't be blamed for the cedi depreciation ?,Bawumia,blamed cedi depreciation
they say is he who brought it mmoa,Bawumia,say brought mmoa
. Are you alright,Bawumia,alright
. They think we are fools.,Bawumia,think fool
project in Ghana,Bawumia,project ghana
touts that he's the brain behind a government building project??,Bawumia,tout brain behind government building project
and ge executed it beautifully,Bawumia,ge executed beautifully
